발전구분,호기,일자,1시 발전량(MWh),2시 발전량(MWh),3시 발전량(MWh),4시 발전량(MWh),5시 발전량(MWh),6시 발전량(MWh),7시 발전량(MWh),8시 발전량(MWh),9시 발전량(MWh),10시 발전량(MWh),11시 발전량(MWh),12시 발전량(MWh),13시 발전량(MWh),14시 발전량(MWh),15시 발전량(MWh),16시 발전량(MWh),17시 발전량(MWh),18시 발전량(MWh),19시 발전량(MWh),20시 발전량(MWh),21시 발전량(MWh),22시 발전량(MWh),23시 발전량(MWh),24시 발전량(MWh),총량(KW),평균(KW),최대(시간별),최소(시간별),최대,최소,파일출처
고흥만 수상태양광,1, 2025-01-29 00:00:00,0,0,0,0,0,0.0,0.0,21.672,1430.688,4876.62,5973.744,23766.792,20272.056,24312.036,24836.952,20313.384,19119.996,1958.208,0.0,0.0,0.0,0.0,0.0,0.0,146882.148,6120,24836.95,21.672,24836.952,0,남동발전량_2025_01.csv
영동태양광,1, 2025-01-28 00:00:00,0,0,0,0,0,0.0,0.0,0.0,1.056,20.16,20.256,19.2,19.2,170.112,818.208,697.344,400.032,580.512,690.816,687.744,518.592,0.0,0.0,0.0,4643.232,193,818.2,1.056,818.208,0,남동발전량_2025_01.csv
삼천포태양광#5,1, 2025-01-28 00:00:00,0,0,0,0,0,0.0,0.0,0.148,94.975,192.126,294.884,391.159,445.945,724.502,622.838,669.026,2493.539,2528.939,194.401,0.0,0.0,0.0,0.0,0.0,8652.482,361,2528.93,0.14,2528.939,0,남동발전량_2025_01.csv
삼천포태양광#5,2, 2025-01-28 00:00:00,0,0,0,0,0,0.0,0.0,1.315,175.088,292.113,450.209,761.746,784.507,1520.013,1583.488,1286.49,4252.326,3953.118,1387.221,0.0,0.0,0.0,0.0,0.0,16447.634,685,4252.32,1.31,4252.326,0,남동발전량_2025_01.csv
광양항세방태양광,1, 2025-01-28 00:00:00,0,0,0,0,0,0.0,0.0,4.8,199.2,614.4,957.6,1392.0,1521.6,1536.0,1478.4,856.8,552.0,103.2,0.0,0.0,0.0,0.0,0.0,0.0,9216.0,384,1536.0,4.8,1536.0,0,남동발전량_2025_01.csv
두산엔진MG태양광,1, 2025-01-28 00:00:00,0,0,0,0,0,0.0,0.0,0.42,3.78,10.44,23.76,23.28,13.74,23.58,17.7,19.14,8.58,1.14,0.0,0.0,0.0,0.0,0.0,0.0,145.56,6,23.76,0.42,23.76,0,남동발전량_2025_01.csv
삼천포태양광,1, 2025-01-28 00:00:00,0,0,0,0,0,0.0,0.0,0.012,1.104,6.324,13.704,13.44,18.42,28.716,37.764,12.756,14.232,0.168,0.0,0.0,0.0,0.0,0.0,0.0,146.64,6,37.76,0.012,37.764,0,남동발전량_2025_01.csv
삼천포태양광,2, 2025-01-28 00:00:00,0,0,0,0,0,0.0,0.0,2.592,33.12,103.392,224.64,220.896,297.504,480.0,642.048,197.184,208.608,17.088,0.0,0.0,0.0,0.0,0.0,0.0,2427.072,101,642.04,2.592,642.048,0,남동발전량_2025_01.csv
삼천포태양광,3, 2025-01-28 00:00:00,0,0,0,0,0,0.0,0.0,0.324,7.632,31.14,72.216,77.544,103.068,186.3,243.324,64.764,48.168,2.988,0.0,0.0,0.0,0.0,0.0,0.0,837.468,35,243.32,0.324,243.324,0,남동발전량_2025_01.csv
삼천포태양광,4, 2025-01-28 00:00:00,0,0,0,0,0,0.0,0.0,0.049,29.189,85.96,122.043,157.177,169.826,256.794,252.252,333.915,1185.499,1164.616,0.0,0.0,0.0,0.0,0.0,0.0,3757.32,157,1185.49,0.049,1185.499,0,남동발전량_2025_01.csv
구미태양광,1, 2025-01-28 00:00:00,0,0,0,0,0,0.0,0.0,0.0,5.351,57.636,42.811,114.404,106.81,119.032,203.569,219.551,95.891,21.912,0.0,0.0,0.0,0.0,0.0,0.0,986.967,41,219.55,5.351,219.551,0,남동발전량_2025_01.csv
삼천포태양광#6,1, 2025-01-28 00:00:00,0,0,0,0,0,0.0,0.0,0.0,18.323,72.346,86.936,79.167,87.923,94.517,79.174,138.73,543.564,638.359,251.986,0.0,0.0,0.0,0.0,0.0,2091.025,87,638.35,18.323,638.359,0,남동발전량_2025_01.csv
영흥태양광#5,1, 2025-01-28 00:00:00,0,0,0,0,0,0.0,0.0,0.0,0.0,14.463,55.442,142.221,212.126,267.568,175.968,77.137,9.642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,954.567,40,267.56,9.64,267.568,0,남동발전량_2025_01.csv
영흥태양광 #3,1, 2025-01-28 00:00:00,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.16,43.2,83.04,100.08,86.16,58.56,276.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649.68,27,276.48,2.16,276.48,0,남동발전량_2025_01.csv
영흥태양광 #3,2, 2025-01-28 00:00:00,0,0,0,0,0,0.0,0.0,0.0,0.0,36.48,47.232,48.48,48.96,49.248,50.496,55.104,504.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,840.768,35,504.76,36.48,504.768,0,남동발전량_2025_01.csv
영흥태양광 #3,3, 2025-01-28 00:00:00,0,0,0,0,0,0.0,0.0,0.0,0.0,5.76,21.84,41.16,51.0,43.68,46.2,66.48,387.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663.24,28,387.12,5.76,387.12,0,남동발전량_2025_01.csv
